structure_id,SMILES,InChIKey
ecbf36aa8ca9aad4,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
e7f66ecdb2becd37,COc1ccc(Cl)cc1/C(O)=N\CCc1ccc(S(=O)(=O)N/C(O)=N\C2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
ae0b2cda3df91a38,COc1ccc(Cl)cc1/C(O)=N/CCc1ccc(S(=O)(=O)N/C(O)=N\C2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
912e135b9d8f6295,COc1ccc(Cl)cc1/C(O)=N/CCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
e6b30e6ce973bf35,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)/N=C(/O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
f98d1c9166847f2f,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)/N=C(\O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
8caf5d4ccc012fd4,COc1ccc(Cl)cc1/C(O)=N\CCc1ccc(S(=O)(=O)N/C(O)=N/C2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
81ea899b0f676129,COc1ccc(Cl)cc1/C(O)=N/CCc1ccc(S(=O)(=O)N/C(O)=N/C2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
565e9ee7c58bc6b0,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)N/C(O)=N/C2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
991c27e907231199,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)N/C(O)=N\C2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
e9dea464705a192a,COc1ccc(Cl)cc1/C(O)=N\CCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
30642d2dd95f7df5,CC(=O)Oc1ccccc1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N
9ec2955beffe9aa4,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,MKXKFYHWDHIYRV-UHFFFAOYSA-N
153aeee56f94b8a9,CC(C)/C(O)=N\c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,MKXKFYHWDHIYRV-UHFFFAOYSA-N
820989a84cdefc72,CC(C)/C(O)=N/c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,MKXKFYHWDHIYRV-UHFFFAOYSA-N
d0ea5947eed0309f,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,YMTINGFKWWXKFG-UHFFFAOYSA-N
411af9ee4b2f0c56,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,FPIPGXGPPPQFEQ-OVSJKPMPSA-N
7dd1ea114f2ed6bb,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,VYMDGNCVAMGZFE-UHFFFAOYSA-N
8b45a12203801e9e,CCCCCCCC/C=C\CCCCCCCC(=O)O,ZQPPMHVWECSIRJ-KTKRTIGZSA-N
175b64056b330496,CCCCCCCCC(=O)O,FBUKVWPVBMHYJY-UHFFFAOYSA-N
4f9862a73a029f4f,CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N
